MasterID,HUC,SampleDate,SampleMonth,SampleYear,CollectionMethodCode,FieldReplicate,CSCI,Latitude,Longitude
632SVK004,632,2007-09-06T00:00:00Z,9,2007,BMI_RWB,1,1.08154289529668,38.49751,-119.60394
632SVK004,632,2007-09-06T00:00:00Z,9,2007,BMI_TRC,1,1.22629994400271,38.49751,-119.60394
632ELD001,632,2003-07-10T00:00:00Z,7,2003,BMI_SNARL,1,1.07066921078439,38.4999,-119.7398
632ELD001,632,2011-09-08T00:00:00Z,9,2011,BMI_RWB,1,1.02118363271514,38.4999,-119.7398
632SND001,632,2005-06-22T00:00:00Z,6,2005,BMI_TRC,1,1.07486264766164,38.52086,-119.57702
632SND001,632,2005-09-28T00:00:00Z,9,2005,BMI_RWB,1,1.10088279796316,38.52086,-119.57702
632SND001,632,2005-09-28T00:00:00Z,9,2005,BMI_TRC,1,1.18525813507993,38.52086,-119.57702
632SND001,632,2005-06-22T00:00:00Z,6,2005,BMI_RWB,1,1.18365861907952,38.52086,-119.57702
632PS0007,632,2008-07-23T00:00:00Z,7,2008,BMI_RWB,1,1.11121721626047,38.53281,-119.59393
532PS0050,532,2010-08-31T00:00:00Z,8,2010,BMI_RWB,1,1.03218453073306,38.54084,-119.88857
632SVK001,632,2000-08-23T00:00:00Z,8,2e3,BMI_SNARL,1,1.04576473656674,38.55124,-119.60971
632SVK001,632,2014-08-27T00:00:00Z,8,2014,BMI_RWB,1,1.11212493997623,38.55124,-119.60971
632SVK002,632,2000-08-23T00:00:00Z,8,2e3,BMI_SNARL,1,1.06649260602919,38.55187,-119.60802
632SVK002,632,2002-07-23T00:00:00Z,7,2002,BMI_SNARL,1,1.09465440315415,38.55187,-119.60802
632SVK002,632,2003-07-31T00:00:00Z,7,2003,BMI_SNARL,1,1.05934516616566,38.55187,-119.60802
632DIX001,632,2012-09-03T00:00:00Z,9,2012,BMI_RWB,1,0.922012264481075,38.56105,-119.7051
632PS0014,632,2009-08-03T00:00:00Z,8,2009,BMI_RWB,1,1.0978899747403,38.56381,-119.6208
632SED032,632,2007-06-29T00:00:00Z,6,2007,BMI_RWB,1,1.11313008954154,38.56647,-119.62707
632SVK003,632,2007-09-08T00:00:00Z,9,2007,BMI_RWB,1,1.03543103467109,38.56779,-119.62514
632SVK003,632,2007-09-08T00:00:00Z,9,2007,BMI_TRC,1,0.964589302460762,38.56779,-119.62514
632SED095,632,2007-06-29T00:00:00Z,6,2007,BMI_RWB,1,1.11118634977704,38.56785,-119.62523
632ECR008,632,2007-09-08T00:00:00Z,9,2007,BMI_RWB,1,0.888744741175568,38.57047,-119.62771
632ECR008,632,2007-09-08T00:00:00Z,9,2007,BMI_TRC,1,0.997231292020147,38.57047,-119.62771
632WLF001,632,2000-09-07T00:00:00Z,9,2e3,BMI_SNARL,1,1.01498984828907,38.57259,-119.69582
632NOB001,632,1999-09-01T00:00:00Z,9,1999,BMI_SNARL,1,0.976583864824591,38.5734,-119.78967
632NOB001,632,2010-09-01T00:00:00Z,9,2010,BMI_RWB,1,1.09259094204119,38.5734,-119.78967
632KIN001,632,2004-08-17T00:00:00Z,8,2004,BMI_RWB,1,1.04132209897485,38.5735,-119.80403
632KIN001,632,2004-08-17T00:00:00Z,8,2004,BMI_TRC,1,1.03461635229996,38.5735,-119.80403
532FC1271,532,2014-07-10T00:00:00Z,7,2014,BMI_RWB,1,0.933411389639795,38.58012,-119.88872
632ECR006,632,2000-09-07T00:00:00Z,9,2e3,BMI_SNARL,1,1.0772944754704,38.59088,-119.65569
632BGV001,632,1999-07-08T00:00:00Z,7,1999,BMI_SNARL,1,0.912058001012471,38.59231,-119.65468
632BGV001,632,2000-07-27T00:00:00Z,7,2e3,BMI_SNARL,1,0.885777396436344,38.59231,-119.65468
632BGV001,632,2002-07-24T00:00:00Z,7,2002,BMI_SNARL,1,0.838344668832967,38.59231,-119.65468
632BGV001,632,2003-07-30T00:00:00Z,7,2003,BMI_SNARL,1,0.854988835927812,38.59231,-119.65468
632BGV002,632,1999-07-08T00:00:00Z,7,1999,BMI_SNARL,1,0.88059850091723,38.59494,-119.64857
632BGV002,632,2000-07-27T00:00:00Z,7,2e3,BMI_SNARL,1,0.831426922834766,38.59494,-119.64857
632SVR001,632,1999-09-01T00:00:00Z,9,1999,BMI_SNARL,1,0.948777262931732,38.59874,-119.77688
632BGV003,632,2002-07-24T00:00:00Z,7,2002,BMI_SNARL,1,1.02304201585609,38.59892,-119.64698
632BGV003,632,2003-07-30T00:00:00Z,7,2003,BMI_SNARL,1,1.0473874956619,38.59892,-119.64698
632SED094,632,2007-06-28T00:00:00Z,6,2007,BMI_RWB,1,1.15041542311458,38.6054,-119.7676
632PS0058,632,2011-08-15T00:00:00Z,8,2011,BMI_RWB,1,1.09222152185371,38.60621,-119.6904
R5BIO-014,532,2001-08-16T00:00:00Z,8,2001,NotRecorded,1,0.978521121854368,38.64734,-119.9989
632HNCAHL,632,2010-08-31T00:00:00Z,8,2010,BMI_RWB,1,1.10669476526528,38.65559,-119.64421
632HEN001,632,1999-07-09T00:00:00Z,7,1999,BMI_SNARL,1,0.61274512973179,38.66056,-119.62764
632IDN001,632,1999-08-31T00:00:00Z,8,1999,BMI_SNARL,1,0.944436476847344,38.6681,-119.77776
632PLV001,632,2004-07-18T00:00:00Z,7,2004,BMI_TRC,1,1.03528644126778,38.66935,-119.80313
632PLV001,632,2004-08-18T00:00:00Z,8,2004,BMI_RWB,1,1.08446075217567,38.66935,-119.80313
632CHV001,632,2004-08-19T00:00:00Z,8,2004,BMI_RWB,1,0.928299693912774,38.67789,-119.90035
632CHV001,632,2004-08-19T00:00:00Z,8,2004,BMI_TRC,1,1.05965502054676,38.67789,-119.90035
633FRD001,633,1999-08-27T00:00:00Z,8,1999,BMI_SNARL,1,0.927713463858536,38.67801,-119.96337
